Standort;Straße;Hausnummer;PLZ;Ort;Station ID;Device ID;icon;slug;Name;Gerätetyp;Hersteller;Sensorart;Typ;Sensortyp;Sensorstatus;Sensormodell;Installationshöhe;Installationsdatum;Kommune
51.51116, 7.46607;Friedensplatz;;44135;Dortmund;DODFRP;d145a9f2-cb11-473e-afbd-98e6b95d9257;devices;dec005492;DEC005492;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-06;Dortmund
51.49392, 7.4504;Strobelallee;54;44139;Dortmund;DOBSBA;dfb38503-57bf-4a1f-9028-8307b7c2ac3f;devices;dec0054a3;DEC0054A3;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-21;Dortmund
51.49650526481517, 7.458125714102572;Westfalenhalle;;44139;Dortmund;DOBWFH;ea446213-2ee8-4a2b-91b3-fabf64ca8b68;devices;dec005491;DEC005491;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-06;Dortmund
51.55515925856318, 7.544892327886174;Peschweg;23;44328;Dortmund;DOBPSW;ebf209de-87ae-4690-be7c-6b8d647635d2;devices;dec0054a1;DEC0054A1;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-11-12;Dortmund
51.52485, 7.44337;Speicherstraße;;44147;Dortmund;DOBSPS;ec81544b-fcdc-44d8-9e9e-3e28456ceef1;devices;dec005496;DEC005496;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-15;Dortmund
51.52606735260967, 7.465276514722926;Nordmarkt;22;44145;Dortmund;DOBNOM;f2c59d1b-bd57-46b5-a2a5-c85da0b9be23;devices;dec00548f;DEC00548F;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-07;Dortmund
51.49392, 7.4504;Strobelallee;54;44139;Dortmund;DOBSBA;17e39891-f0f2-4ccd-9cc7-e3a46dad63ed;devices;dec005454;DEC005454;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-21;Dortmund
51.51003, 7.44808;Ritterhausstraße;32;44137;Dortmund;DOBWEP;21725f11-3489-4edb-9936-8371860ffc17;devices;dec005471;DEC005471;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-21;Dortmund
51.49252351390988, 7.414330333294123;Vogelpothsweg;;44227;Dortmund;DOBMSP;2e510e18-3e17-46a8-a03a-33070992acfd;devices;dec00530b;DEC00530B;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-04-17;Dortmund
51.489444383733, 7.447220950248622;Bolmker Weg;;44225;Dortmund;DODBOL;489fccfc-032c-474c-8bff-8fa583e01437;devices;dec005452;DEC005452;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-03-13;Dortmund
51.52179, 7.4713;Lauenburger Straße;2;44145;Dortmund;DOBHAN;6c43e902-acc5-491f-9ac2-a29eb031db6a;devices;dec005478;DEC005478;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-21;Dortmund
51.51321814079135, 7.463944015394063;Hansaplatz;;44137;Dortmund;DOBHAP;6da26775-2b8e-4396-ade6-282e659fdfcb;devices;dec005305;DEC005305;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-01-31;Dortmund
51.49468777545645, 7.481143008002792;An der Buschmühle;;44139;Dortmund;DOBWFP;bc4197a0-4792-4cdd-beb2-cbd104141057;devices;dec005479;DEC005479;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.1m;2025-01-31;Dortmund
51.5152782257544, 7.453501657184866;Leonie-Reygers-Terrasse;2;44137;Dortmund;DOBDOU;e0b8572d-d0e5-4db5-9196-8452672b6811;devices;dec005473;DEC005473;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-08-05;Dortmund
51.52267, 7.4592;Uhlandstraße;19;44147;Dortmund;DOBDKP;fc70122c-3c93-478a-96a6-9fdff796d16f;devices;dec005306;DEC005306;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-21;Dortmund
51.54423571928751, 7.389359781080883;Westhusener Straße;69;44369;Dortmund;DOTSWH;224391a4-ab26-4314-8605-f68f908c618f;devices;dec0054a7;DEC0054A7;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
51.489444383733, 7.447220950248622;Bolmker Weg;;44225;Dortmund;DODBOL;22588ecc-677f-465a-b7ed-b8fb05fc9a56;devices;dec004d1a;DEC004D1A;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-03-13;Dortmund
51.54190257930591, 7.372127397694583;Am Brauckacker;13-15;44357;Dortmund;DOTABA;2e4e5c4d-5b2a-4f26-9065-830dbdf5c485;devices;dec0054ab;DEC0054AB;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-15;Dortmund
51.564410363948205, 7.383330847995142;Ammerstraße;47;44359;Dortmund;DOTAMS;308586aa-49ac-4efe-8669-4054110d1def;devices;dec0054ce;DEC0054CE;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
51.48439, 7.43782;Am Beilstück;24;44225;Dortmund;DOTABS;30f074fe-a2d6-4693-9bc2-ad4865fa00f1;devices;dec0054b9;DEC0054B9;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-15;Dortmund
