Wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
082001;181;80;216;229;257;994;685;290;322
082002;115;90;174;126;91;474;331;127;212
082003;142;103;198;161;126;576;321;162;165
082004;81;59;106;120;142;408;468;225;214
082005;67;41;58;58;52;250;205;110;116
082006;77;53;103;106;92;373;378;171;206
082007;;;;;;;;;
082008;;;;;;;5;;
082009;192;110;202;230;191;741;622;261;425
082010;143;79;147;194;195;658;480;176;148
082011;123;79;114;172;179;648;539;223;239
082012;145;95;151;134;164;591;444;178;208
082013;175;92;164;219;224;824;626;266;297
082014;142;83;188;214;234;827;602;292;296
082015;80;66;128;114;114;454;377;154;188
082016;70;48;108;84;101;307;212;91;228
082017;131;70;163;147;97;456;514;185;177
083001;101;86;164;174;113;597;675;326;324
083002;125;86;119;104;68;495;503;211;235
083003;99;74;160;147;120;522;545;283;337
083004;200;138;190;121;102;599;325;140;172
083005;98;63;159;94;105;407;493;227;296
083006;;;;;;;;;
084001;127;91;145;97;83;493;473;249;212
084002;203;112;177;163;162;865;787;381;415
084003;157;100;186;102;110;698;582;251;391
084004;;;;;;6;5;;
091001;106;47;108;138;130;520;414;248;268
091002;103;80;142;133;124;485;503;244;309
091003;162;120;277;271;165;782;837;292;430
091004;173;97;154;298;359;985;696;319;300
091005;103;55;105;358;159;484;450;191;100
091006;110;96;211;188;145;560;614;201;219
091007;96;42;96;192;188;493;383;169;204
091008;142;86;160;189;168;649;630;222;299
091009;148;68;192;186;214;714;560;230;348
091010;258;166;358;339;245;834;647;256;223
091011;80;57;105;165;126;450;419;191;170
092001;146;144;183;69;70;677;428;174;159
092002;;;;;;5;3;;
093001;84;44;129;123;89;387;494;169;283
093002;122;107;190;145;134;549;467;178;190
093003;163;108;203;173;184;642;495;209;227
093004;169;112;219;201;173;699;494;212;176
093005;87;64;114;79;47;249;148;56;32
093006;157;95;215;245;267;853;528;193;228
093007;;;;;;;;;
093008;22;19;50;60;33;138;95;34;37
093009;;;;;;;;;
094001;31;21;60;41;27;132;86;17;30
094002;;;;;;;;;
094003;208;138;233;305;232;915;747;254;296
095001;;;3;4;9;12;8;;
095002;152;70;124;92;184;799;474;164;208
095003;169;97;178;134;176;728;528;188;252
095004;190;106;186;188;220;930;657;262;421
095005;184;102;192;212;152;729;541;209;234
095006;;;;;;;;;
095007;;;;;;;;;
095008;50;32;67;55;41;268;289;190;191
095009;98;74;170;110;52;409;494;221;324
095010;74;39;87;104;116;362;274;117;160
095011;92;62;108;107;106;443;383;187;157
096001;73;63;122;56;31;293;319;192;420
096002;64;44;90;46;27;163;132;44;54
096003;82;67;143;96;75;476;508;210;263
096004;82;63;144;118;120;443;566;212;298
096005;89;78;146;72;71;335;446;208;253
096006;165;114;234;193;130;714;567;268;356
096007;;;3;;;6;5;;
097001;137;127;246;128;85;614;536;182;345
097002;;;;;;;;;
098001;34;21;44;72;65;202;183;82;81
098002;263;179;321;235;180;721;297;110;177
098003;230;151;294;236;138;570;274;84;87
098004;123;71;123;153;115;544;434;227;203
098005;117;91;133;131;122;505;436;206;165
098006;124;49;113;181;168;614;618;233;241
098007;163;104;224;195;137;599;651;336;365
098008;108;70;102;129;142;426;288;160;144
098009;126;75;158;175;141;598;635;280;337
098010;4;;5;;;13;16;17;89
101001;54;51;102;69;35;154;104;20;16
101002;96;70;127;126;79;356;351;134;179
101003;65;47;103;111;67;303;376;145;191
101004;210;152;315;211;188;748;660;235;347
