wohnquartier;unter_6_jahren;6_ bis_unter_10_jahre;10_ bis_unter_18_jahre;18_ bis_unter_25_jahre;25_ bis_unter_30_jahre;30_ bis_unter_50_jahre;50_ bis_unter_65_jahre;65_ bis_unter_75_jahre;75_jahre_und_aelter
064005;134;82;127;152;169;631;374;177;179
064006;206;121;196;178;145;881;586;316;410
064007;580;288;278;168;282;1586;513;233;239
064008;151;70;180;155;170;591;414;199;225
071001;90;79;135;100;77;407;497;209;266
071002;99;78;175;133;122;618;541;335;293
071003;187;135;256;222;181;947;860;393;421
071004;144;97;182;160;118;543;549;246;307
071005;117;89;165;160;144;618;627;271;305
071006;82;63;132;108;85;390;395;148;144
071007;188;78;178;115;105;555;224;72;64
071008;72;60;149;156;72;466;461;171;212
071009;106;71;118;141;158;571;478;225;224
071010;91;52;143;121;142;436;506;232;253
071011;93;37;103;126;131;490;438;192;231
071012;27;23;43;39;40;164;184;88;178
071013;;;;;;;;;
071014;;;;;;;;;
071015;157;118;243;248;175;726;613;239;265
071016;152;86;216;232;161;665;540;230;283
072001;114;63;100;100;56;473;363;178;202
072002;120;67;118;122;182;728;456;245;239
072003;95;48;113;92;137;598;454;221;214
073001;66;43;91;136;115;396;281;158;273
073002;224;66;76;53;83;822;366;106;102
073003;167;116;199;145;105;570;499;250;316
073004;50;26;46;47;38;203;160;97;98
073005;76;51;136;108;71;363;417;211;218
074001;25;17;29;37;22;106;137;56;66
074002;59;47;91;75;39;276;306;130;127
075001;163;115;190;106;60;609;417;189;242
081001;104;71;150;188;190;513;331;117;133
081002;77;49;95;125;123;444;415;168;204
081003;80;48;108;113;105;384;308;147;175
081004;267;152;321;328;341;1054;691;295;217
081005;124;76;154;160;181;629;418;202;280
082001;156;108;208;228;236;990;664;289;335
082002;126;95;154;147;117;470;316;135;207
082003;157;110;174;148;147;561;302;181;150
082004;88;56;105;125;95;416;453;213;218
082005;69;25;51;71;52;234;211;110;118
082006;76;59;104;106;87;373;377;171;199
082007;;;;;;;;;
082008;;;;;;;;;
082009;173;103;211;219;203;763;592;277;427
082010;147;68;148;198;254;638;461;178;144
082011;133;72;124;181;173;673;528;224;249
082012;163;75;147;167;160;597;443;167;218
082013;154;87;182;203;256;784;614;245;311
082014;150;97;177;236;235;849;600;280;309
082015;87;60;127;125;108;467;362;162;195
082016;88;68;99;113;116;334;227;82;245
082017;119;86;168;154;115;469;497;169;177
083001;102;82;161;183;140;600;688;305;330
083002;124;80;106;99;78;530;506;203;236
083003;96;71;151;157;143;491;538;298;325
083004;185;125;141;95;98;532;317;142;167
083005;82;68;143;124;94;385;478;230;306
083006;;;;;;;;;
084001;107;94;136;99;82;483;452;248;212
084002;187;98;171;147;159;872;772;381;405
084003;142;97;155;111;106;687;568;273;372
084004;;;;;;;;;
091001;102;49;113;115;129;514;425;220;277
091002;130;84;129;167;120;504;474;265;330
091003;180;128;297;253;184;840;799;297;433
091004;170;90;157;338;365;972;703;289;318
091005;93;47;114;324;184;505;446;183;93
091006;116;86;216;191;148;600;591;190;214
091007;105;53;94;189;211;503;368;167;199
091008;127;82;167;179;182;657;591;225;301
091009;140;85;178;164;223;733;514;246;358
091010;274;172;376;329;270;815;609;231;193
091011;80;48;118;170;105;465;406;183;180
092001;172;178;124;71;72;737;377;157;156
092002;;;;;;;;;
093001;85;52;136;132;93;414;477;163;284
093002;136;100;177;146;122;585;439;170;194
093003;175;112;177;189;208;643;494;202;237
093004;182;110;221;206;173;684;481;201;166
093005;92;79;108;71;67;256;136;49;36
093006;141;97;200;265;242;792;540;206;233
093007;;;;;;;;;
093008;41;32;59;60;33;136;90;31;41
093009;;;;;;;;;
094001;24;17;51;30;32;124;77;22;33
094002;;;;;;;;;
094003;215;146;231;287;240;940;735;256;317
095001;;;;;;;;;
095002;146;78;118;168;197;832;449;180;209
095003;161;89;183;143;160;751;484;221;245
095004;187;120;175;220;212;959;634;278;414
095005;176;100;194;205;162;745;506;205;249
095006;;;;;;;;;
095007;;;;;;;;;
095008;46;33;55;54;46;287;267;214;166
095009;94;73;152;113;67;440;460;225;301
095010;64;43;81;103;100;366;265;128;162
095011;88;73;118;123;94;476;386;176;153
096001;72;67;119;59;22;325;315;182;409
096002;58;47;86;45;44;166;118;48;53
096003;98;80;130;106;86;494;500;213;249
096004;91;74;134;118;102;467;548;215;285
096005;91;64;139;103;65;357;459;207;253
096006;143;120;218;201;119;705;566;261;368
096007;;;;;;;;;
097001;144;148;212;112;81;665;502;170;342
097002;;;;;;;;;
098001;41;25;48;81;57;203;177;86;69
098002;165;126;231;190;143;549;277;112;165
098003;129;106;185;138;111;434;225;80;92
098004;130;71;128;129;131;572;448;225;193
098005;123;75;141;138;114;494;453;193;160
098006;96;65;125;176;170;627;607;219;241
098007;177;120;220;204;157;639;638;361;370
098008;111;54;106;132;125;431;286;167;139
098009;105;63;159;179;139;556;638;268;339
098010;;;;;;;;;
101001;59;53;106;62;36;167;87;24;12
101002;97;63;126;119;86;333;343;117;188
101003;60;48;104;107;61;323;356;138;215
101004;208;169;288;222;165;768;670;211;389
101005;130;78;146;146;97;474;420;136;310
101006;146;113;178;158;113;479;392;175;319
101007;;;;;;;;;
101008;100;67;154;155;121;404;407;146;303
101009;192;127;206;149;138;520;357;196;221
101010;265;154;262;188;164;582;354;126;190
101011;89;65;146;140;92;408;457;175;359
101012;15;7;24;32;16;56;125;52;47
101013;;;;;;;;;
101014;;;;;;;;;
102001;37;27;84;60;50;210;204;146;177
102002;99;69;148;165;163;494;868;224;162
102003;131;88;192;168;97;571;646;314;210
102004;21;10;21;27;25;41;16;;
