Wohnquartiere;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
73003001;130;119;212;121;78;489;508;225;199
73004001;73;55;97;59;45;320;314;136;150
73005001;51;32;74;59;48;214;302;159;194
74001001;88;72;128;94;49;385;446;203;209
75001001;149;98;201;122;79;547;463;165;252
81001001;119;58;117;208;222;550;344;122;124
81002001;90;57;101;109;114;488;421;192;193
81003001;84;60;90;104;102;365;325;160;179
81004001;230;185;363;346;276;1123;752;308;231
81005001;118;78;159;152;195;618;457;210;240
82001001;167;85;194;226;232;846;646;286;321
82001002;99;81;180;145;83;450;342;140;188
82002001;141;96;193;138;120;521;336;161;176
82003001;75;60;117;103;93;416;449;231;206
82003002;71;56;61;49;60;254;229;90;132
82003003;68;52;106;86;77;350;337;189;195
82003004;;;;;;;;;
82004001;;;;;;;6;;
82004002;171;99;190;207;168;709;593;254;398
82005001;125;83;125;198;211;620;485;183;163
82005002;128;76;117;156;180;663;523;225;241
82005003;150;113;149;149;146;588;442;194;202
82006001;146;99;157;232;216;804;646;262;287
82006002;144;72;164;215;219;835;612;289;288
82007001;79;63;120;123;86;459;386;155;185
82007002;129;82;167;135;103;493;503;187;172
82008001;69;39;108;86;96;322;217;109;221
83001001;119;83;180;170;118;583;672;346;307
83002001;114;83;134;97;65;469;485;240;231
83002002;87;59;144;165;112;499;529;282;322
83003001;170;148;235;119;89;581;337;146;162
83003002;103;80;172;97;89;406;478;224;304
83003003;;;;;;;;;
84001001;129;80;171;82;74;505;477;254;215
84001002;203;109;167;149;131;878;779;390;423
84001003;151;104;191;106;109;679;595;273;374
84001004;;;;;;3;7;;
91001001;115;57;103;128;151;492;396;253;231
91001002;98;78;150;127;120;464;524;249;305
91002001;171;120;271;255;156;763;846;338;409
91002002;101;56;99;303;170;446;444;202;110
91002003;104;89;193;169;159;518;642;204;222
91002004;139;70;186;200;194;705;573;222;338
91003001;176;100;158;268;317;971;665;337;300
91003002;94;58;98;163;169;515;361;172;193
91003003;132;92;177;179;161;693;617;234;291
91004001;222;186;350;345;230;856;650;275;220
91004002;84;63;103;158;140;456;411;189;180
92001001;132;126;244;78;61;634;467;171;160
92001002;;;;;;3;5;;
93001001;88;49;118;115;83;378;509;183;262
93001002;105;94;198;146;134;525;484;188;183
93002001;155;119;206;174;164;661;486;227;221
93002002;137;89;201;160;160;620;438;176;158
93003001;95;69;138;103;81;294;211;92;49
93005001;;;3;;;3;;;
93005002;71;36;93;109;102;346;233;81;86
93005003;;;;;;;;;
93005004;130;49;131;153;179;594;396;157;151
94001001;76;53;117;77;68;272;205;62;75
94001002;;;;;;;;;
94001003;147;86;198;235;196;734;647;227;228
95001001;;;3;4;6;7;12;;
95001002;132;72;144;98;171;776;468;176;209
95001003;168;101;177;150;140;716;546;201;233
95001004;180;108;204;178;236;897;654;286;388
95002001;179;104;194;184;194;730;544;213;227
95002002;;;;;;;;;
95002003;170;78;144;121;239;729;338;136;160
95003001;;;;;;;;;
95003002;49;27;70;52;50;248;285;186;204
95004001;96;75;153;101;57;367;494;229;326
95005001;85;44;119;108;90;445;384;197;159
96001001;45;48;119;44;20;219;266;138;165
96001002;85;58;140;106;75;447;522;209;261
96001003;75;58;133;116;113;427;572;214;269
96001004;101;83;140;82;54;345;419;228;243
96001005;;;5;;;4;6;;
96002001;74;48;101;63;33;213;192;87;322
96003001;151;108;233;195;121;686;577;281;335
