wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
054002001;55;67;222;170;55;344;478;85;46
054002002;92;88;206;153;55;442;472;99;69
055001001;9;3;8;11;4;18;29;4;12
055001002;162;134;310;163;68;677;637;193;260
055001003;124;111;228;109;74;557;567;309;368
055001004;102;98;143;87;97;485;337;177;209
055001005;;;;;;3;3;;
055001006;;;4;;;4;10;;4
056001001;122;83;212;114;57;432;467;201;280
056001002;4;;4;7;;18;25;4;
061001001;29;21;24;19;24;89;24;7;
061001002;137;128;271;223;174;671;605;309;204
061002001;134;103;231;173;116;538;350;146;146
061003001;88;66;99;69;68;420;274;193;185
062001001;;;;;;;;;
062001002;138;93;198;227;239;1026;854;445;436
062002001;97;78;157;170;137;488;358;112;162
062003001;133;125;236;146;60;559;623;321;332
062004001;139;102;192;142;101;579;587;236;221
062005001;193;137;235;246;307;1196;799;430;325
062005002;93;75;146;199;177;647;460;244;219
062006001;95;77;154;99;109;549;536;245;289
062007001;203;140;256;228;259;1065;923;395;473
063001001;47;51;102;88;69;335;274;130;132
063002001;40;46;110;137;58;239;226;85;78
063003001;63;57;112;87;68;307;205;86;62
063003002;224;139;217;196;303;970;293;132;99
063004001;275;197;370;239;236;1090;540;201;321
063004002;77;57;124;136;131;413;335;136;111
063004003;103;86;155;198;181;604;425;172;167
063005001;56;37;103;73;41;300;215;135;132
063006001;60;31;99;68;46;288;238;127;127
063006002;8;3;9;10;6;36;37;9;8
063007001;116;79;154;168;185;664;381;212;180
063008001;66;61;116;120;103;437;324;182;186
063008002;172;111;200;221;207;747;390;130;97
063009001;60;65;95;102;73;377;318;232;262
064001001;;;;3;;7;;;
064001002;147;120;263;287;248;973;708;332;245
064002001;121;88;239;209;201;829;648;354;291
064002002;98;74;145;163;172;655;410;180;181
064003001;166;148;256;153;164;905;632;281;376
064004001;280;288;514;162;154;1486;745;203;263
064004002;103;79;123;116;137;623;328;219;222
071001001;80;74;169;101;52;393;437;258;218
071002001;111;66;121;141;97;600;530;339;327
071003001;161;124;252;218;193;878;856;397;438
071003002;88;75;157;140;104;451;589;320;392
071003003;34;25;70;45;38;239;227;133;199
071004001;84;89;197;113;71;472;480;321;365
071005001;75;72;129;83;61;374;372;159;151
071006001;159;161;224;153;128;766;437;210;169
071007001;94;94;155;114;97;522;454;249;197
071007002;91;67;132;123;140;571;495;236;230
071007003;71;62;127;117;108;412;510;247;251
071007004;3;;;4;;13;26;17;12
071008001;85;53;68;109;127;505;404;203;219
071008002;159;118;284;269;193;837;641;282;183
071009001;;;;;;;;;
071010001;119;95;203;183;157;629;581;249;259
072001001;82;65;119;80;81;457;358;185;209
072001002;137;69;145;117;181;795;416;215;242
072002001;91;59;99;117;137;582;442;223;214
073001001;66;48;76;142;93;420;279;150;288
073002001;126;80;105;52;98;694;458;124;106
073003001;110;98;217;125;67;491;470;236;218
073004001;66;47;105;69;41;303;300;134;152
073005001;38;26;59;61;54;203;288;151;205
074001001;77;83;144;87;64;363;442;200;215
075001001;120;101;217;114;75;546;438;182;239
081001001;69;57;98;154;195;553;329;141;130
081002001;85;58;102;109;108;512;420;208;184
081003001;80;55;97;109;95;356;304;161;158
081004001;195;168;354;351;282;1133;726;318;265
081005001;104;74;156;197;170;633;457;200;218
082001001;161;106;197;202;218;902;620;299;291
082001002;93;66;174;148;119;398;364;150;183
082002001;145;76;188;139;124;519;339;169;178
082003001;96;61;139;130;94;440;432;229;207
082003002;57;48;83;52;44;235;223;90;125
082003003;67;53;114;91;71;357;322;212;168
082003004;;;;;;;;;
082004001;;;;;;;5;;
082004002;145;112;206;231;199;743;561;293;382
082005001;117;80;155;178;219;631;477;171;164
082005002;120;63;141;136;173;705;508;242;226
082005003;117;100;181;153;131;597;450;202;187
082006001;134;95;194;234;230;810;634;282;287
082006002;116;93;169;241;251;840;584;273;294
082007001;65;59;134;128;84;454;363;150;176
082007002;110;89;171;134;100;518;466;229;164
082008001;68;38;109;89;95;372;216;115;208
083001001;115;93;192;147;102;589;650;371;296
083002001;81;85;160;85;69;471;468;265;225
083002002;106;57;140;144;125;520;503;277;329
083003001;127;135;269;131;100;586;364;141;149
083003002;94;75;188;108;64;441;436;252;272
083003003;;;;;;;;;
084001001;265;162;227;125;139;916;507;256;244
084001002;192;120;188;141;123;868;744;389;422
084001003;140;112;188;144;108;688;583;284;339
084001004;;;;;;5;8;;
091001001;91;70;105;123;141;524;393;268;241
091001002;63;77;154;129;125;446;498;283;284
091002001;144;112;269;246;149;712;886;327;427
091002002;89;62;97;281;163;452;366;238;135
091002003;88;81;186;182;137;527;614;258;210
091002004;130;87;151;187;193;716;573;229;358
091003001;173;107;193;255;350;1055;596;350;286
091003002;75;56;89;155;154;517;338;200;167
091003003;157;90;189;161;181;699;604;241;271
