Wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
082004;78;61;107;120;113;415;463;219;210
082005;69;42;55;64;39;240;207;98;121
082006;76;55;103;93;94;356;376;174;206
082007;;;;;;;;;
082008;;;;;;;3;;
082009;174;105;191;216;182;731;613;253;397
082010;118;85;142;186;188;628;482;190;148
082011;116;80;122;177;164;671;522;221;243
082012;149;106;144;143;161;580;448;193;201
082013;165;90;157;234;199;813;635;267;293
082014;137;76;173;206;238;823;601;303;286
082015;76;69;129;109;103;466;384;155;183
082016;70;44;115;79;95;302;224;94;217
082017;126;70;167;146;92;479;510;183;169
083001;106;82;168;164;124;575;680;344;310
083002;119;77;133;93;75;478;491;230;237
083003;91;78;147;155;112;518;537;293;330
083004;198;140;206;119;98;599;328;146;171
083005;97;75;160;103;98;392;496;228;304
083006;;;;;;;;;
084001;122;86;168;86;72;511;470;256;214
084002;194;111;175;166;138;857;782;387;419
084003;157;84;196;108;104;677;594;262;377
084004;;;;;6;9;5;3;
091001;125;42;108;138;128;512;404;257;260
091002;99;77;155;134;123;493;502;251;305
091003;157;131;273;256;168;788;836;307;426
091004;178;90;159;280;325;986;688;319;307
091005;98;55;103;300;183;440;453;200;106
091006;112;93;196;190;141;536;628;201;220
091007;88;49;93;181;172;493;359;167;207
091008;136;88;164;176;153;675;629;217;298
091009;141;73;185;191;206;702;568;225;331
091010;243;175;364;353;230;855;653;272;215
091011;83;63;100;160;142;468;397;197;172
092001;138;129;210;76;64;660;452;168;158
092002;;;;;;4;4;;
093001;89;46;122;122;93;397;498;170;267
093002;103;99;204;142;120;538;478;191;178
093003;161;114;207;171;182;645;493;219;218
093004;173;92;217;184;188;686;501;203;169
093005;85;60;127;86;41;243;150;59;33
093006;170;81;202;256;266;817;538;201;212
093007;;;;;;;;;
093008;18;19;46;50;41;127;101;29;37
093009;;;;;;;;;
094001;37;21;61;40;28;139;90;17;30
094002;;;;;;;;;
094003;186;128;245;285;240;891;764;267;284
095001;;;3;4;4;11;10;;
095002;146;63;137;110;158;781;472;176;201
095003;179;95;185;138;164;730;533;191;247
095004;187;106;185;196;212;916;657;280;385
095005;174;106;185;198;173;723;544;212;227
095006;;;;;;;;;
095007;;;;;;;;;
095008;53;27;64;57;44;255;286;189;194
095009;102;72;161;115;48;403;487;233;314
095010;156;74;143;143;219;668;328;135;163
095011;86;49;117;104;98;456;384;188;157
096001;62;59;131;55;30;272;327;191;434
096002;68;39;90;50;25;174;122;47;53
096003;83;66;146;100;80;470;518;205;263
096004;79;58;141;116;122;430;579;208;284
096005;81;71;147;78;60;330;442;215;239
096006;157;104;235;185;122;707;569;277;345
096007;;;3;;;6;5;;
097001;130;125;272;119;75;604;558;188;340
097002;;;;;;;;;
098001;32;25;43;62;62;196;178;80;86
098002;265;185;332;222;176;700;296;120;162
098003;224;161;302;210;129;540;277;92;83
098004;124;68;134;148;127;561;423;232;206
