wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
082007001;89;57;134;118;89;469;392;162;178
082007002;114;86;167;139;104;507;502;186;171
082008001;58;49;110;84;89;333;208;117;213
083001001;117;92;196;154;109;573;666;367;292
083002001;99;91;147;91;69;481;490;257;217
083002002;97;61;144;171;112;508;516;290;315
083003001;162;147;255;122;95;591;352;136;162
083003002;96;85;184;103;85;417;464;234;297
083003003;;;;;;;;;
084001001;173;95;178;93;87;600;492;251;229
084001002;188;120;165;134;122;894;767;387;416
084001003;147;115;199;104;97;691;603;280;359
084001004;;;;;;4;8;;
091001001;118;63;119;131;146;528;403;274;223
091001002;87;79;145;121;128;461;521;260;292
091002001;154;120;273;253;143;728;886;334;411
091002002;101;56;100;292;164;453;413;224;117
091002003;96;94;189;166;151;516;635;218;222
091002004;137;81;179;208;184;707;566;228;340
091003001;177;106;168;278;327;991;651;337;303
091003002;88;61;96;142;164;539;344;188;186
091003003;157;102;173;191;174;694;597;240;284
091004001;231;167;378;343;221;882;641;304;214
091004002;85;77;112;147;149;454;412;183;189
092001001;160;130;261;85;59;677;468;175;163
092001002;;;;;;;6;;
093001001;88;50;110;118;90;371;500;190;248
093001002;99;94;209;136;128;534;484;199;184
093002001;154;104;212;181;169;681;489;236;221
093002002;144;89;203;174;166;626;464;159;158
093003001;87;72;143;99;80;293;216;96;50
093005001;;;;;;;;;
093005002;81;49;115;134;105;377;231;76;82
093005003;;;;;;;;;
093005004;133;58;133;173;179;598;410;160;159
094001001;59;47;113;93;63;255;200;71;75
094001002;;;;;;;;;
094001003;148;90;198;227;206;770;659;237;220
095001001;;;;6;4;13;11;;
095001002;124;82;144;102;172;750;483;176;207
095001003;153;95;177;164;154;717;538;216;230
095001004;168;113;207;182;220;904;636;300;385
095002001;179;107;205;194;175;741;532;222;220
095002002;;;;;;;;;
095002003;188;83;147;123;234;759;344;152;156
095003001;;;;;;;;;
095003002;51;23;64;50;58;239;287;187;223
095004001;88;73;154;101;54;375;476;230;332
095005001;76;52;114;114;95;423;384;199;161
096001001;46;51;113;41;24;213;267;138;162
096001002;73;61;140;115;66;438;522;208;252
096001003;83;62;134;109;105;438;558;205;270
096001004;100;85;138;80;45;344;415;235;242
096001005;;;4;;;4;5;;
096002001;66;41;104;69;32;212;189;90;316
096003001;152;116;225;191;125;692;576;308;318
097001001;111;121;281;130;91;557;570;202;341
097001002;;;;;;;;;
098001001;50;37;70;87;74;312;244;119;134
098001002;85;71;112;110;101;452;361;187;165
098001003;101;93;164;152;107;520;438;272;169
098002001;261;220;389;248;136;754;338;105;167
098002002;207;174;342;223;132;579;306;99;77
098003001;158;65;116;155;167;649;571;265;235
098003002;122;110;223;165;136;624;621;338;361
098003003;132;81;164;149;127;596;623;322;302
098003004;;4;3;;;15;10;22;86
098004001;148;64;123;148;150;440;293;142;148
101001001;147;112;236;189;107;518;458;177;168
101002001;64;36;101;93;66;302;370;177;167
101002002;204;159;334;231;179;799;637;270;319
101002003;;;;;;;;;
101003001;127;91;195;130;110;458;453;197;236
101003002;132;106;220;142;85;454;403;241;282
101003003;;;;;;;;;
101004001;107;67;180;149;98;440;416;161;192
101004002;100;72;130;102;86;420;434;212;320
101004003;;;;;;;;;
101005001;157;123;247;175;122;481;344;215;195
101005002;239;197;338;230;156;668;436;195;168
102001001;45;35;77;65;32;205;209;112;185
102001002;127;88;178;137;93;509;545;404;241
102002001;113;72;166;136;108;555;665;429;169
